1951#1 (1+1+1)!!+11*(1+111)-1
1951#2 2+2+22/2+(2*22)^2
1951#3 3!+(3+(3!*3)^3)/3
1951#4 (√(√(4)^(4!))-√4)/√4-4!*4
1951#5 5*(5!+5*55)-5!/5
1951#6 6!+(6!+6666)/6
1951#7 7!-((7+7)!/(7!)/(7!)-7*7*7)
1951#8 √(√(√8*8)^8+8!*88)-8/8
1951#9 9+((9+9)^√9-(√9)!)/√9
1952#1 (1+1+1)!!+11*(1+111)
1952#2 2*2*(2+2+22^2)
1952#3 (3!)^3*(3^(-3)+3*3)
1952#4 4*4+√(44)^4
1952#5 (5!+(5+5)/5)*(5+55/5)
1952#6 6!+6!+√(6+(6+6)/6)^6
1952#7 (7!+(√7+√7)^7/√7)/7-7!
1952#8 √(√(√8*8)^8+8!*88)
1952#9 ((√9)!)^√9*(9+√(9)^(-√9))
1953#1 1+(1+1+1)!!+11*(1+111)
1953#2 (√(2)^22-2)*(2-2/22)/2
1953#3 3*(3+3*(3!)^3)
1953#4 (√4+√(√(4)^(4!)))/√4-4!*4
1953#5 5*5+((5+5)/5)^(55/5)-5!
1953#6 (√(6)^6+6^6)/(6+6+6+6)
1953#7 7*7!/(7+77/7)-7
1953#8 (8-√√(√(8)^(-8)))*(√(√(8+8)^8)-8)
1953#9 9+9*((√9)!)^√9
1954#1 1+1+(1+1+1)!!+11*(1+111)
1954#2 22+(2*22)^2-2-2
1954#3 ((3!*3)^3+33-3)/3
1954#4 √4+4*4+√(44)^4
1954#5 5+(5!+55*(5!+55))/5
1954#6 (√(6)^6-6)*(6+6!/(√(6)^6))-6
1954#7 7+(7+((7+7)/7)^7/7)*77
1954#8 8*(8+8!/(√(8)^8/((√(8+8))!)))
1954#9 9+(√9+(9+9)^√9)/√9
1955#1 ((1+1+1)!-1)*(1111-(1+1+1)!!)
1955#2 √(2)^22-(√(2)^22-2)/22
1955#3 ((3!*3)^3+33)/3
1955#4 4!+√(44)^4-4/4-4
1955#5 (5!-5)*(5+5!/(5+5))
1955#6 √(6)^6+√(6+6)^6+66/6
1955#7 7*7*(7*7-7)-(7!+7)/7/7
1955#8 (8+(8!+8!+8!+√(8)^8)/8)/8
1955#9 9*((√9)!)^√9+99/9
1956#1 (1+1)*(11*√(1+(1+1+1)!!*11)-1)
1956#2 22+(2*22)^2-2
1956#3 3+3*(3+3*(3!)^3)
1956#4 4!+√(44)^4-4
1956#5 (5^5+55+5!*55)/5
1956#6 6*√(6)^6+666-6
